YEAR,region,agro_ecological_zone,season,environment_condition,latitude,longitude,elevation,rainfall_mm,mean_temperature,soil_type,soil_pH,soil_N_content,soil_P_content,soil_K_content,ENTRY,Pedigree,Name,breeding_institution,maturity_group,rep,days_to_anthesis,Days_to_silking,anthesis_silking_interval,plant_height,ear_height,husk_cover,plant_aspect,field_weight,ear_harvested,ear_per_plant,ear_aspect,grain_moisture,grain_yield,staygreen
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,1,SMLW-3 x IITA 1876,SAMMAZ-01,IAR,Extra-Early,1,67,72,5,185,133,3,4,0.69,5,0.56,4,12.5,2514.51,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,1,SMLW-3 x IITA 1876,SAMMAZ-01,IAR,Extra-Early,2,67,71,4,202,113,2,2,0.09,4,1,3,12.5,329.41,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,2,SMLW-3 x IITA 1878,SAMMAZ-02,IAR,Extra-Early,1,57,61,4,188,110,2,3,0.18,6,1,5,6.8,713.44,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,2,SMLW-3 x IITA 1878,SAMMAZ-02,IAR,Extra-Early,2,63,68,5,158,108,2,2.5,0.25,5,1,5,12.5,924.82,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,3,SMLW-3 x SAM 50 Male,SAMMAZ-03,IAR,Extra-Early,1,61,66,5,152,107,2,2,0.56,12,0.8,5,12.5,2039.61,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,3,SMLW-3 x SAM 50 Male,SAMMAZ-03,IAR,Extra-Early,2,62,66,4,210,103,1,1.5,1.84,10,1,2,7.9,7073.28,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,4,SMLW-4 x IITA 1876,SAMMAZ-04,IAR,Early,1,67,72,5,113,103,2,2.5,0.17,6,1,5,12.5,603.92,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,4,SMLW-4 x IITA 1876,SAMMAZ-04,IAR,Early,2,63,67,4,190,102,2,3.5,0.15,7,0.7,5,12.5,543.53,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,5,SMLW-4 x IITA 1878,SAMMAZ-05,IAR,Early,1,58,63,5,157,100,2,1.5,0.13,8,1,2,12.5,466.67,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,5,SMLW-4 x IITA 1878,SAMMAZ-05,IAR,Early,2,66,71,5,187,100,2,2,0.92,7,0.7,3,12.5,3381.96,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,6,SMLW-4 x SAM 50 Male,SAMMAZ-06,IAR,Early,1,68,72,4,152,98,2,3,0.17,7,0.54,5,12.5,606.12,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,6,SMLW-4 x SAM 50 Male,SAMMAZ-06,IAR,Early,2,55,58,3,175,98,2,2,0.3,6,0.86,2,7.9,3116.24,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,7,SMLW-5 x IITA 1876,SAMMAZ-07,IAR,Early,1,60,65,5,167,96,2,4,0.59,7,0.78,5,8.5,2241.36,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,7,SMLW-5 x IITA 1876,SAMMAZ-07,IAR,Early,2,63,68,5,148,95,1,2.5,0.62,10,1,2,12.5,2253.73,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,8,SMLW-5 x IITA 1878,SAMMAZ-08,IAR,Early,1,65,71,6,165,95,1,2,0.41,4,0.29,4,7.9,1571.84,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,8,SMLW-5 x IITA 1878,SAMMAZ-08,IAR,Early,2,54,56,2,152,95,2,2,0.4,9,0.9,4,10.7,2218.84,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,9,SMLW-5 x SAM 50 Male,SAMMAZ-09,IAR,Early,1,60,65,5,138,93,2,2.5,0.14,3,1.5,2,12.5,524.31,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,9,SMLW-5 x SAM 50 Male,SAMMAZ-09,IAR,Early,2,59,63,4,154,93,2,3.5,0.08,3,0.43,5,12.5,301.3,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,10,SMLW-6 x IITA 1876,SAMMAZ-10,IAR,Early,1,69,74,5,162,92,2,2.5,0.58,3,0.43,2,12.5,2109.7,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,10,SMLW-6 x IITA 1876,SAMMAZ-10,IAR,Early,2,61,66,5,160,92,2,2.5,0.5,7,1,3,7.9,1938.6,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,11,SMLW-6 x IITA 1878,SAMMAZ-11,IAR,Early,1,59,64,5,176,90,2,2.5,1.5,10,0.77,2,11.6,6336,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,11,SMLW-6 x IITA 1878,SAMMAZ-11,IAR,Early,2,57,62,5,153,90,2,2.5,0.5,9,1,4,10.6,1863.82,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,12,SMLW-6 x SAM 50 Male,SAMMAZ-12,IAR,Early,1,66,70,4,173,90,2,2.5,0.45,4,1,5,9.2,1699.15,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,12,SMLW-6 x SAM 50 Male,SAMMAZ-12,IAR,Early,2,62,67,5,149,90,2,3.5,0.46,7,0.7,5,12.5,1697.02,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,13,SMLW-7 x IITA 1876,SAMMAZ-13,IAR,Early,1,59,62,3,175,90,1.5,2,0.5,4,1,2.5,12.5,6794.12,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,13,SMLW-7 x IITA 1876,SAMMAZ-13,IAR,Early,2,63,67,4,166,88,2,2,0.31,7,0.78,3,12.5,1134.88,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,14,SMLW-7 x IITA 1878,SAMMAZ-14,IAR,Early,1,62,68,6,146,88,2,3.5,0.19,8,1,5,12.5,700,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,14,SMLW-7 x IITA 1878,SAMMAZ-14,IAR,Early,2,63,66,3,188,88,2,2.5,0.21,8,0.8,5,12.5,754.9,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,15,SMLW-7 x SAM 50 Male,SAMMAZ-15,IAR,Early,1,58,61,3,172,88,2,2.5,1.3,13,1,2,12.5,5435.29,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,15,SMLW-7 x SAM 50 Male,SAMMAZ-15,IAR,Early,2,57,58,1,182,87,2,2,0.8,11,0.92,2,12.6,3619.39,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,16,SMLW-9 x IITA 1876,SAMMAZ-16,IAR,Early,1,68,71,3,181,87,2,2.5,0.78,9,1,3,12.5,2854.9,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,16,SMLW-9 x IITA 1876,SAMMAZ-16,IAR,Early,2,57,60,3,128,86,2,2,0.8,8,0.8,2,11,2848.09,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,17,SMLW-9 x IITA 1878,SAMMAZ-17,IAR,Early,1,54,55,1,150,86,1,1.5,0.9,15,0.94,2,9.8,3151.69,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,17,SMLW-9 x IITA 1878,SAMMAZ-17,IAR,Early,2,62,65,3,187,85,2,2.5,0.31,8,1.33,5,12.5,1119.45,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,18,SMLW-9 x SAM 50 Male,SAMMAZ-18,IAR,Early,1,66,71,5,171,85,3,3,0.24,7,0.78,5,12.5,880.63,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,18,SMLW-9 x SAM 50 Male,SAMMAZ-18,IAR,Early,2,61,66,5,142,85,2,2.5,0.14,11,0.85,2,12.5,527.06,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,19,SMLW-10 x IITA 1876 ,SAMMAZ-19,IAR,late,1,51,54,3,175,85,2,2.5,0.4,4,0.5,2,10.2,2789.08,1
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,19,SMLW-10 x IITA 1876 ,SAMMAZ-19,IAR,late,2,66,69,3,139,83,2,3,0.23,10,0.83,2,12.5,823.53,2
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,20,SMLW-10 x IITA 1878 ,SAMMAZ-20,IAR,late,1,61,64,3,196,83,2,2.5,0.13,12,0.92,3,12.5,465.29,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,20,SMLW-10 x IITA 1878 ,SAMMAZ-20,IAR,late,2,58,62,4,182,83,2,2,0.8,6,1,3,12.5,2926.93,5
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,21,SMLW-10 x SAM 50 Male ,SAMMAZ-21,IAR,late,1,61,66,5,126,83,2,2.5,0.37,7,0.7,5,12.5,1350.59,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,21,SMLW-10 x SAM 50 Male ,SAMMAZ-21,IAR,late,2,56,58,2,185,83,1.5,3,1.2,8,0.89,3,12.5,7247.06,1
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,22,SMLW-11 x IITA 1876,SAMMAZ-22,IAR,late,1,61,65,4,188,82,2,2.5,0.62,3,0.6,2,8.1,2371.09,3
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,22,SMLW-11 x IITA 1876,SAMMAZ-22,IAR,late,2,70,74,4,173,82,2,3,0.62,5,1,4,9.3,2345.59,4
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,23,SMLW-11 x IITA 1878,SAMMAZ-23,IAR,late,1,63,67,4,141,82,3,3.5,0.08,9,1,5,12.5,277.25,6
2020,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,23,SMLW-11 x IITA 1878,SAMMAZ-23,IAR,late,2,57,59,2,177,81,2,2.5,1.4,12,1.09,3,9.8,7131.11,4
